發票年,發票月,縣市代碼,縣市名稱,行業名稱,平均開立張數,平均開立金額,平均客單價
2013,1,A,臺北市,便利商店,49608,3842208,77
2013,1,B,臺中市,便利商店,18185,1949232,107
2013,1,C,基隆市,便利商店,27888,2367080,85
2013,1,D,臺南市,便利商店,18113,2106279,116
2013,1,E,高雄市,便利商店,18934,2004013,106
2013,1,F,新北市,便利商店,34725,3011945,87
2013,1,G,宜蘭縣,便利商店,38005,3600632,95
2013,1,H,桃園市,便利商店,38122,3394945,89
2013,1,I,嘉義市,便利商店,17376,1848450,106
2013,1,J,新竹縣,便利商店,14286,1375991,96
2013,1,K,苗栗縣,便利商店,15167,1588485,105
2013,1,M,南投縣,便利商店,35183,3662997,104
2013,1,N,彰化縣,便利商店,17105,2128863,124
2013,1,O,新竹市,便利商店,39345,3162652,80
2013,1,P,雲林縣,便利商店,38229,3856808,101
2013,1,Q,嘉義縣,便利商店,41599,3899228,94
2013,1,T,屏東縣,便利商店,18282,2361163,129
2013,1,U,花蓮縣,便利商店,53262,5106425,96
2013,1,V,臺東縣,便利商店,50059,5040558,101
2013,1,X,澎湖縣,便利商店,56458,8310320,147
2013,2,A,臺北市,便利商店,42133,3425760,81
2013,2,B,臺中市,便利商店,16687,1950967,117
2013,2,C,基隆市,便利商店,25922,2509572,97
2013,2,D,臺南市,便利商店,16804,2098419,125
2013,2,E,高雄市,便利商店,17483,1972565,113
2013,2,F,新北市,便利商店,31618,2988593,95
2013,2,G,宜蘭縣,便利商店,38874,4045360,104
2013,2,H,桃園市,便利商店,34012,3323908,98
2013,2,I,嘉義市,便利商店,17316,1964984,113
2013,2,J,新竹縣,便利商店,13316,1403460,105
2013,2,K,苗栗縣,便利商店,14464,1684134,116
2013,2,M,南投縣,便利商店,38835,4462731,115
2013,2,N,彰化縣,便利商店,16600,2248212,135
2013,2,O,新竹市,便利商店,33293,2906043,87
2013,2,P,雲林縣,便利商店,39254,4392493,112
2013,2,Q,嘉義縣,便利商店,43126,4554483,106
2013,2,T,屏東縣,便利商店,18872,2537287,134
2013,2,U,花蓮縣,便利商店,55870,5997124,107
2013,2,V,臺東縣,便利商店,57138,6405096,112
2013,2,X,澎湖縣,便利商店,56157,8510147,152
2013,3,A,臺北市,便利商店,52235,3874343,74
2013,3,B,臺中市,便利商店,19479,2012323,103
2013,3,C,基隆市,便利商店,30015,2433090,81
2013,3,D,臺南市,便利商店,19463,2108863,108
2013,3,E,高雄市,便利商店,20072,2022874,101
2013,3,F,新北市,便利商店,36882,3092861,84
2013,3,G,宜蘭縣,便利商店,40752,3714585,91
2013,3,H,桃園市,便利商店,40333,3457890,86
2013,3,I,嘉義市,便利商店,19260,1980139,103
2013,3,J,新竹縣,便利商店,15736,1458391,93
2013,3,K,苗栗縣,便利商店,16427,1631632,99
2013,3,M,南投縣,便利商店,37093,3748097,101
2013,3,N,彰化縣,便利商店,18290,2185886,120
2013,3,O,新竹市,便利商店,41944,3258230,78
2013,3,P,雲林縣,便利商店,41077,4045545,98
2013,3,Q,嘉義縣,便利商店,45276,4113910,91
2013,3,T,屏東縣,便利商店,20225,2493399,123
2013,3,U,花蓮縣,便利商店,60718,5621607,93
2013,3,V,臺東縣,便利商店,51666,5085038,98
2013,3,X,澎湖縣,便利商店,60944,8078766,133
2013,4,A,臺北市,便利商店,49761,3829035,77
2013,4,B,臺中市,便利商店,18434,1928536,105
2013,4,C,基隆市,便利商店,29387,2445174,83
2013,4,D,臺南市,便利商店,18687,2073693,111
2013,4,E,高雄市,便利商店,19267,1969018,102
2013,4,F,新北市,便利商店,35361,3056293,86
2013,4,G,宜蘭縣,便利商店,40009,3761015,94
2013,4,H,桃園市,便利商店,38716,3418881,88
2013,4,I,嘉義市,便利商店,18404,1908597,104
2013,4,J,新竹縣,便利商店,14359,1350229,94
2013,4,K,苗栗縣,便利商店,15672,1570543,100
2013,4,M,南投縣,便利商店,35643,3782793,106
2013,4,N,彰化縣,便利商店,17318,2125932,123
2013,4,O,新竹市,便利商店,40104,3207023,80
2013,4,P,雲林縣,便利商店,41190,4189179,102
2013,4,Q,嘉義縣,便利商店,43374,4056687,94
2013,4,T,屏東縣,便利商店,19796,2437703,123
2013,4,U,花蓮縣,便利商店,58068,5635593,97
2013,4,V,臺東縣,便利商店,50758,5148231,101
2013,4,X,澎湖縣,便利商店,60766,8070632,133
2013,5,A,臺北市,便利商店,56042,4177946,75
2013,5,B,臺中市,便利商店,20878,2089542,100
2013,5,C,基隆市,便利商店,32655,2600918,80
2013,5,D,臺南市,便利商店,20649,2235723,108
2013,5,E,高雄市,便利商店,21269,2119882,100
2013,5,F,新北市,便利商店,39703,3282976,83
2013,5,G,宜蘭縣,便利商店,41790,3826613,92
2013,5,H,桃園市,便利商店,43693,3695391,85
2013,5,I,嘉義市,便利商店,20275,2040099,101
2013,5,J,新竹縣,便利商店,16668,1504772,90
2013,5,K,苗栗縣,便利商店,17634,1683871,95
2013,5,M,南投縣,便利商店,38587,3905623,101
2013,5,N,彰化縣,便利商店,19221,2218223,115
2013,5,O,新竹市,便利商店,45000,3424283,76
2013,5,P,雲林縣,便利商店,44154,4246880,96
2013,5,Q,嘉義縣,便利商店,45872,4051554,88
2013,5,T,屏東縣,便利商店,20883,2495644,120
2013,5,U,花蓮縣,便利商店,62371,5826699,93
2013,5,V,臺東縣,便利商店,52911,5142164,97
2013,5,X,澎湖縣,便利商店,71262,9017095,127
2013,6,A,臺北市,便利商店,56593,4156338,73
2013,6,B,臺中市,便利商店,21227,2083896,98
2013,6,C,基隆市,便利商店,34067,2653148,78
2013,6,D,臺南市,便利商店,20894,2208437,106
2013,6,E,高雄市,便利商店,21263,2063336,97
2013,6,F,新北市,便利商店,41178,3328301,81
2013,6,G,宜蘭縣,便利商店,45675,4079121,89
2013,6,H,桃園市,便利商店,44926,3733282,83
2013,6,I,嘉義市,便利商店,21026,2065786,98
2013,6,J,新竹縣,便利商店,17321,1544326,89
2013,6,K,苗栗縣,便利商店,17348,1650499,95
2013,6,M,南投縣,便利商店,40792,4023473,99
2013,6,N,彰化縣,便利商店,19797,2215702,112
2013,6,O,新竹市,便利商店,44734,3384221,76
2013,6,P,雲林縣,便利商店,44587,4251181,95
2013,6,Q,嘉義縣,便利商店,47201,4049463,86
2013,6,T,屏東縣,便利商店,21105,2428064,115
2013,6,U,花蓮縣,便利商店,66600,6094529,92
2013,6,V,臺東縣,便利商店,57136,5410214,95
2013,6,X,澎湖縣,便利商店,78501,9781080,125
2013,7,A,臺北市,便利商店,58550,4450977,76
2013,7,B,臺中市,便利商店,21041,2200041,105
2013,7,C,基隆市,便利商店,35612,2847373,80
2013,7,D,臺南市,便利商店,21377,2350353,110
2013,7,E,高雄市,便利商店,21438,2208413,103
2013,7,F,新北市,便利商店,41916,3501144,84
2013,7,G,宜蘭縣,便利商店,49639,4550937,92
2013,7,H,桃園市,便利商店,45700,3921762,86
2013,7,I,嘉義市,便利商店,20566,2153372,105
2013,7,J,新竹縣,便利商店,17733,1651030,93
2013,7,K,苗栗縣,便利商店,17973,1818571,101
2013,7,M,南投縣,便利商店,40931,4309268,105
2013,7,N,彰化縣,便利商店,19968,2369923,119
2013,7,O,新竹市,便利商店,46041,3629662,79
2013,7,P,雲林縣,便利商店,44296,4419675,100
2013,7,Q,嘉義縣,便利商店,48590,4566215,94
2013,7,T,屏東縣,便利商店,21995,2711992,123
2013,7,U,花蓮縣,便利商店,69248,6588495,95
