發票年月,縣市代碼,縣市名稱,行業名稱,平均開立張數,平均開立金額,平均客單價
2013/1/1,A,臺北市,便利商店,49608,3842208,77
2013/1/1,A,臺北市,百貨公司,106400,188402249,1771
2013/1/1,A,臺北市,綜合商品零售業,45494,9458221,208
2013/1/1,A,臺北市,超級市場,15525,3457834,223
2013/1/1,A,臺北市,零售式量販店,34748,22672698,652
2013/1/1,A,臺北市,食品、飲料及菸草製品零售業,19088,3065237,161
2013/1/1,A,臺北市,餐飲業,15339,3353684,219
2013/1/1,B,臺中市,便利商店,18185,1949232,107
2013/1/1,B,臺中市,百貨公司,131386,256572327,1953
2013/1/1,B,臺中市,綜合商品零售業,42549,7075675,166
2013/1/1,B,臺中市,超級市場,269184,24745060,92
2013/1/1,B,臺中市,零售式量販店,38080,22382029,588
2013/1/1,B,臺中市,食品、飲料及菸草製品零售業,19659,4222698,215
2013/1/1,B,臺中市,餐飲業,12168,2285089,188
2013/1/1,C,基隆市,便利商店,27888,2367080,85
2013/1/1,C,基隆市,綜合商品零售業,26178,2594077,99
2013/1/1,C,基隆市,超級市場,15836,3936761,249
2013/1/1,C,基隆市,食品、飲料及菸草製品零售業,14041,2013884,143
2013/1/1,D,臺南市,便利商店,18113,2106279,116
2013/1/1,D,臺南市,百貨公司,108433,166512060,1536
2013/1/1,D,臺南市,綜合商品零售業,55290,9127044,165
2013/1/1,D,臺南市,超級市場,531707,44614541,84
2013/1/1,D,臺南市,零售式量販店,34543,20545888,595
2013/1/1,D,臺南市,食品、飲料及菸草製品零售業,17997,4260476,237
2013/1/1,D,臺南市,餐飲業,11188,1702335,152
2013/1/1,E,高雄市,便利商店,18934,2004013,106
2013/1/1,E,高雄市,百貨公司,50391,55632646,1104
2013/1/1,E,高雄市,綜合商品零售業,19560,3794451,194
2013/1/1,E,高雄市,超級市場,18601,4329212,233
2013/1/1,E,高雄市,零售式量販店,15170,12145759,801
2013/1/1,E,高雄市,食品、飲料及菸草製品零售業,670723,54429417,81
2013/1/1,E,高雄市,餐飲業,9337,1433541,154
2013/1/1,F,新北市,便利商店,34725,3011945,87
2013/1/1,F,新北市,百貨公司,19019,4314750,227
2013/1/1,F,新北市,綜合商品零售業,31508,3402554,108
2013/1/1,F,新北市,超級市場,15865,4479927,282
2013/1/1,F,新北市,零售式量販店,21688,11057185,510
2013/1/1,F,新北市,食品、飲料及菸草製品零售業,15087,2548838,169
2013/1/1,F,新北市,餐飲業,11444,1650170,144
2013/1/1,G,宜蘭縣,便利商店,38005,3600632,95
2013/1/1,G,宜蘭縣,綜合商品零售業,35105,4073668,116
2013/1/1,G,宜蘭縣,超級市場,19413,6476532,334
2013/1/1,G,宜蘭縣,食品、飲料及菸草製品零售業,15836,4015144,254
2013/1/1,H,桃園市,便利商店,38122,3394945,89
2013/1/1,H,桃園市,百貨公司,30033,34073539,1135
2013/1/1,H,桃園市,綜合商品零售業,36036,4936500,137
2013/1/1,H,桃園市,超級市場,22141,8774701,396
2013/1/1,H,桃園市,零售式量販店,44314,29687157,670
2013/1/1,H,桃園市,食品、飲料及菸草製品零售業,15572,2992578,192
2013/1/1,H,桃園市,餐飲業,30687,25065959,817
2013/1/1,I,嘉義市,便利商店,17376,1848450,106
2013/1/1,I,嘉義市,綜合商品零售業,39318,7285797,185
2013/1/1,I,嘉義市,超級市場,164974,15672495,95
2013/1/1,J,新竹縣,便利商店,14286,1375991,96
2013/1/1,J,新竹縣,綜合商品零售業,13840,1599361,116
2013/1/1,J,新竹縣,超級市場,5944,1605166,270
